Test Start Time (PC): 2025-05-31 11:06:12
Time (s),Channel 1,Channel 2,Channel 3,Channel 4
0.000000,30.15,,,30.13
0.444830,30.12,,,30.12
0.947235,30.15,,,30.15
1.221223,30.15,,,30.15
1.825258,30.15,,,30.13
2.030573,30.12,,,30.18
2.231007,30.15,,,30.38
2.829456,30.15,,,30.56
3.034729,30.15,,,31.96
3.441782,30.15,,,32.77
3.992849,30.10,,,33.24
4.244703,30.13,,,33.62
4.448445,30.10,,,33.83
4.917208,30.10,,,33.79
5.517492,30.13,,,33.52
5.769741,30.15,,,33.27
5.975173,30.12,,,33.24
6.522281,30.15,,,33.03
6.796405,30.15,,,32.81
7.400467,30.13,,,32.59
7.605708,30.15,,,32.38
7.806807,30.13,,,32.22
7.806808,,,,
